raw,cluster_id,n
projektmanagementfähigkeiten,0,1
generating permanent facts/skills to be reused between conversations,6,1
local inference (ideally on device but smth similar to gwdg would be okay too),6,1
a good background understanding,9,1
an ability to critic answers,7,1
that's really hard - we are only just learning about it.,6,1
if used well by experts then i believe it is a powerful tool.,2,1
if used blindly then it is full of dangers.,6,1
critical evaluation of ai-generated outputs,6,1
software design and architecture fundamentals.,2,1
creo que hay que saber las bases primero,7,1
tanto sobre el tema que estamos investigando como de programación,0,1
eso permite usar estas herramientas de manera efectiva.,7,1
dealing with ai slop bug reports,6,1
using mcp to integrate into existing systems,9,1
discriminación de código,7,1
ejecución de lógica,7,1
entendimiento de la problemática,7,1
análisis crítico.,7,1
criticism,4,1
tests,5,1
the ability to not use them :),6,1
creativity,4,1
accurate prompts,0,1
code lesen und eigenständig bewerten - was sich leider durch massive nutzung von ki schwerer (weniger oft) lernen lässt.,0,1
