raw,cluster_id,category
ability to distil the true requirements from unstructured descriptions,6,AI Oversight Skills
good understanding of the problem,3,Software Development Skills
ability to tell plausible output from correct output,6,AI Oversight Skills
formal proof assistant languages,5,Testing Skills
effective prompt writing,0,Prompt Engineering
organization,3,Software Development Skills
know in advance what result you want and have an idea how you want to do it. (knowing architecture,2,Software Engineering Skills
algorithms,4,AI Literacy
datatypes before you start coding),1,Code Review
accurate communication with the ai,3,Software Development Skills
project management,3,Software Development Skills
formal validation methods,5,Testing Skills
system architecture planning,2,Software Engineering Skills
being organized,3,Software Development Skills
awareness of environmental impact,3,Software Development Skills
discernment,4,AI Literacy
understanding the codebase being targeted sufficiently well to critically evaluate generated output,2,Software Engineering Skills
algorithms and data structures,9,Domain Knowledge
anything cognitive,4,AI Literacy
development experience. i'm at least able to read and debug and follow the code that is generated. i suspect junior devs aren't ever going to pick up that experience,4,AI Literacy
system design experience,2,Software Engineering Skills
close inspection and knowledge of how to do it without ai,6,AI Oversight Skills
technical framework,9,Domain Knowledge
best practices,9,Domain Knowledge
all se skills are necessary because you have to be able to assess the information that is generated and trim it down,2,Software Engineering Skills
i.e. only take the code that is really necessary.,2,Software Engineering Skills
abstract thinking,7,AI Ethics and Critical Thinking
ability to formalize a problem/task,6,AI Oversight Skills
best practice training,9,Domain Knowledge
ability to understand problems in a wider context,3,Software Development Skills
product vision,3,Software Development Skills
active knowlede,4,AI Literacy
ai needs to be better at doing complex tasks,6,AI Oversight Skills
an ability to remain connected to reality rather than falling into psychosis while having all of ones primary interactions be with a machine. an ability to understand the kind of errors a multi-terabyte statistical language model can make in software,4,AI Literacy
and recognise these when they occur even when the models are hyper-optimised for producing output that looks plausible to human eyes.,2,Software Engineering Skills
"""actual skills""",4,AI Literacy
"""fundamental knowledge""",9,Domain Knowledge
convincing stakeholders the need for rses in the genai loop,6,AI Oversight Skills
problem decomposition,9,Domain Knowledge
strong programming fundamentals,3,Software Development Skills
senior-level software engineering skills,2,Software Engineering Skills
comunicación,7,AI Ethics and Critical Thinking
honestidad profesional,7,AI Ethics and Critical Thinking
transparencia,7,AI Ethics and Critical Thinking
having valid data in hands and asking correct questions.,2,Software Engineering Skills
building mcp tools,9,Domain Knowledge
building custom gpts,9,Domain Knowledge
fastidious commitment to reviewing and understanding the output of ai tools,2,Software Engineering Skills
be able to understand the suggestions before applying them,6,AI Oversight Skills
bessere konzepte für testing,0,Prompt Engineering
adaptability,4,AI Literacy
verstehen des erzeugten codes,0,Prompt Engineering
um diesen bewerten zu können und logikfehler zu finden,0,Prompt Engineering
ask the right questions,0,Prompt Engineering
interpret the results sceptically,8,Skepticism
project managment,3,Software Development Skills
validation testing,5,Testing Skills
ai literacy and foundations for use,9,Domain Knowledge
ai ethics course,3,Software Development Skills
environmental consequences,3,Software Development Skills
moral understanding,3,Software Development Skills
ability to check and modify proposed solutions,6,AI Oversight Skills
avoid code bloat and repetition,1,Code Review
understanding important concepts,9,Domain Knowledge
taste,4,AI Literacy
the ability to look the other way,7,AI Ethics and Critical Thinking
critical thinking and inhibition (to not continue the negative slope when the ai doesn't find what you want),6,AI Oversight Skills
general understaning of coding. prompting experience. common sense. concentration. real world experience.,2,Software Engineering Skills
be a proficient software developer,2,Software Engineering Skills
be tool-curious,4,AI Literacy
and advanced understanding of the generated code and its concepts,3,Software Development Skills
stop and think,7,AI Ethics and Critical Thinking
reflect,4,AI Literacy
indifference about social and ecological impacts,6,AI Oversight Skills
much stronger software architecture skills,2,Software Engineering Skills
stronger skills in restricting the ai to produce code of wanted quality or architecture (e.g. using interfaces (rust traits) and tests).,2,Software Engineering Skills
abstraktionsfähigkeit,7,AI Ethics and Critical Thinking
exzellentes prompting,7,AI Ethics and Critical Thinking
hohe disziplin beim prüfen des codes,0,Prompt Engineering
coding in the first place,1,Code Review
understanding field of application even more,9,Domain Knowledge
broad expertise in software development/software architecture,2,Software Engineering Skills
experioence,4,AI Literacy
core development skills,9,Domain Knowledge
especially the patience for reviewing,5,Testing Skills
deeper test coverage,5,Testing Skills
basic coding knowledge,1,Code Review
critical mindset,7,AI Ethics and Critical Thinking
domain knowledge: without knowing and understanding the science - including the technical aspects - generative ai is risky; critical thinking,2,Software Engineering Skills
knowledge of the tasks,9,Domain Knowledge
knowledge of the right ai tools,9,Domain Knowledge
understanding the code it generates and interfere when it is not up to a certain standard,2,Software Engineering Skills
technical skills related to the scientific field of the project,3,Software Development Skills
ethische klarheit um ki abzulehnen,0,Prompt Engineering
formulating will contained tasks,9,Domain Knowledge
understanding how they work on a fundamental level.,3,Software Development Skills
gen-ai is a powerful tool for a developer with a solid foundational skill set. it is a dangerous crutch and time sink for others.,4,AI Literacy
project management skills,3,Software Development Skills
knowing what you're doing enough to actually be able to check if the code it wrote is correct,2,Software Engineering Skills
need to already have solid knowledge of coding to assess ai output for correctness,2,Software Engineering Skills
motivation to learn,9,Domain Knowledge
good base knowledge to spot halucinations/innefficencies,6,AI Oversight Skills
preexistent and robust software development experience,2,Software Engineering Skills
basic understanding of the math behind how llms work,9,Domain Knowledge
critical eye on the result,7,AI Ethics and Critical Thinking
background understanding of the use case,9,Domain Knowledge
inquisitive mind,7,AI Ethics and Critical Thinking
some working knowledge of the problem statement and technical language; for many problems,2,Software Engineering Skills
generative ai cannot be used out of the box without knowledgable review,6,AI Oversight Skills
accurate prompt definitions; security analysis; code validation,0,Prompt Engineering
detailed and clear prompting,0,Prompt Engineering
understanding how ai analyses and responds to prompts,0,Prompt Engineering
but i think most developers have these skills,3,Software Development Skills
fundametal understanding of the task,9,Domain Knowledge
strong background in programming,3,Software Development Skills
experience of knowing when something is wrong,6,AI Oversight Skills
effective testing,5,Testing Skills
knowing how to ensure your code is of good quality,3,Software Development Skills
knowing how to edit your code so there is no original research left in it before you use it in a prompt,4,AI Literacy
knowing what uses of ai are allowed in a phd programme,6,AI Oversight Skills
knowing what your actual issue/question is,6,AI Oversight Skills
strong communication skills like writing in a clear and detailed manner and reading and understanding the work of another mind which happens to be artificial,4,AI Literacy
understanding the general problem in the first place,3,Software Development Skills
knowing how to prompt the llms,0,Prompt Engineering
understanding that these models find the average/typical solutions and should not be used as an end all be all option for solving any problems or answering your questions in full.,2,Software Engineering Skills
understanding it's limitations,9,Domain Knowledge
software archtecture and design,2,Software Engineering Skills
understanding of the technology the ai is producing output for.,2,Software Engineering Skills
research domain knowledge! and software skills that don't involve code: software design,2,Software Engineering Skills
knowing when it is wrong,6,AI Oversight Skills
knowing what questions to ask,0,Prompt Engineering
testing ai's limits,5,Testing Skills
you still need to understand the code and what you want the code to do,2,Software Engineering Skills
skills in how gen ai can be wrong and how to double check it,6,AI Oversight Skills
fundamental understanding of programming,3,Software Development Skills
pros and cons of llms,6,AI Oversight Skills
understanding the tech stack that is being used,3,Software Development Skills
ability to think critically - similar to knowing how/when to use a stackoverflow answer,7,AI Ethics and Critical Thinking
an understanding of the domain problem,9,Domain Knowledge
knowing what are the possilbe option to know when a suggestion is terrible,6,AI Oversight Skills
ability to suggest the appropriate tech stack and packages.,2,Software Engineering Skills
high-level software design,2,Software Engineering Skills
and taste. product design,4,AI Literacy
ux,4,AI Literacy
large existing knowledge base,9,Domain Knowledge
bullshit detector,3,Software Development Skills
verifying sources,5,Testing Skills
actually understanding and not blindl copying,6,AI Oversight Skills
read software,2,Software Engineering Skills
evaluate software quality,2,Software Engineering Skills
knowing when they're the wrong tool for the job,6,AI Oversight Skills
a good understanding of the languages and tools being used,3,Software Development Skills
understanding software architecture best practices. system level design. debugging.,2,Software Engineering Skills
tener altos conocimientos de ingenieria de software y una conceptualización clara de las tecnologías,2,Software Engineering Skills
moral bankruptcy,3,Software Development Skills
imagination,4,AI Literacy
validation,5,Testing Skills
solid understanding of programming principles; ability to read and understand code,3,Software Development Skills
developing proper configuration files,2,Software Engineering Skills
test generation,5,Testing Skills
proper monitoring and feedback to llm,6,AI Oversight Skills
software testing,5,Testing Skills
a skeptical nature,8,Skepticism
selber zu denken,7,AI Ethics and Critical Thinking
general concepts of software engineering,2,Software Engineering Skills
formal software engineering training,2,Software Engineering Skills
understanding of domain research,9,Domain Knowledge
software development skills (version control,2,Software Engineering Skills
management). ability to understand information sources,3,Software Development Skills
which requires research and programming skills.,2,Software Engineering Skills
you need to be critical of what it outputs,6,AI Oversight Skills
and have to also understand the problem you're trying to make it solve for you,2,Software Engineering Skills
programming(!),1,Code Review
impulse control,3,Software Development Skills
sound scepticism!,8,Skepticism
testing ai generated output,5,Testing Skills
time-management,3,Software Development Skills
agent management,3,Software Development Skills
software design principles,2,Software Engineering Skills
restraint. limit ai use since it's extremely easy to overuse it resulting in low quality code,4,AI Literacy
fundamental knowledge about research software dev,3,Software Development Skills
structured prompting,0,Prompt Engineering
ciritical thinking,7,AI Ethics and Critical Thinking
proper prompting; understanding of llms; proper knowledge of programming languages,0,Prompt Engineering
the ability to actually understand and test what generative models produce,2,Software Engineering Skills
understanding and familiarizing yourself with the principles and basics of software development,3,Software Development Skills
proper understanding of the project you are trying to build. good understanding of the ability and limitations of genai. proficiency in tools that streamline the development process of genai use. proficiency in designing automated tests. being able to clearly define what a project should do. knowing how to choose the right model/agent for the task.,4,AI Literacy
software project management,2,Software Engineering Skills
prompt enigneering,7,AI Ethics and Critical Thinking
gen ai has no place in research which is ultimately about increasing human knowledge - at least one human should understand each step.,4,AI Literacy
code fluency,1,Code Review
architechture understanding,9,Domain Knowledge
challenging ai produced plans and code,1,Code Review
an interrogative mindset,7,AI Ethics and Critical Thinking
etica,7,AI Ethics and Critical Thinking
decisión,7,AI Ethics and Critical Thinking
valor de la herramienta,7,AI Ethics and Critical Thinking
"reading/using with a ""critical"" lense",7,AI Ethics and Critical Thinking
following up with learning/research,9,Domain Knowledge
keeping up to date on genai tools,6,AI Oversight Skills
sceptisisim,8,Skepticism
language expertise,9,Domain Knowledge
pentesting,4,AI Literacy
ability to ask ai the right questions,0,Prompt Engineering
lesen,7,AI Ethics and Critical Thinking
aufmerksamkeitsspanne,7,AI Ethics and Critical Thinking
architekturverständnis,0,Prompt Engineering
you would still need to have solid understanding of the software development process and architecture. with models you can only improve the gap you know you are missing. often models don't automatically improve the gap you don't know you are missing.,4,AI Literacy
understand security issues that can arise. software engineering and architecture are still prerequisites,2,Software Engineering Skills
without them,4,AI Literacy
vibe-coders are working blindly and introduce terrible mistakes,6,AI Oversight Skills
strong data engineering fundamentals,9,Domain Knowledge
understanding of how parts go together,9,Domain Knowledge
understanding of flow to get most out of tools,3,Software Development Skills
understanding of what ai is attempting to do,6,AI Oversight Skills
understanding of basics,9,Domain Knowledge
research methodology,9,Domain Knowledge
einschätzung und prüfung des code,0,Prompt Engineering
knowing how to set up a blocklist to filter ai-generated pages from search results,6,AI Oversight Skills
in general,4,AI Literacy
you have to already have some development experience / know what you're doing to be able to use these tools effectively. otherwise you won't be able to spot mistakes or critically review their outputs.,4,AI Literacy
understanding of ai fundamentals to make best use of the tool and know biases/flaws,2,Software Engineering Skills
code design and srchitecture skills,2,Software Engineering Skills
writing good specs,9,Domain Knowledge
wissenschaftlich-kritische reflexionsfähigkeit,0,Prompt Engineering
nachhaltigkeitsbewusstsein,7,AI Ethics and Critical Thinking
technisches verständnis,7,AI Ethics and Critical Thinking
frustrationstoleranz,4,AI Literacy
selbstwertgefühl,7,AI Ethics and Critical Thinking
ethikbewusstsein,7,AI Ethics and Critical Thinking
projektmanagementfähigkeiten,0,Prompt Engineering
generating permanent facts/skills to be reused between conversations,6,AI Oversight Skills
local inference (ideally on device but smth similar to gwdg would be okay too),6,AI Oversight Skills
a good background understanding,9,Domain Knowledge
an ability to critic answers,7,AI Ethics and Critical Thinking
that's really hard - we are only just learning about it.,6,AI Oversight Skills
if used well by experts then i believe it is a powerful tool.,2,Software Engineering Skills
if used blindly then it is full of dangers.,6,AI Oversight Skills
critical evaluation of ai-generated outputs,6,AI Oversight Skills
software design and architecture fundamentals.,2,Software Engineering Skills
creo que hay que saber las bases primero,7,AI Ethics and Critical Thinking
tanto sobre el tema que estamos investigando como de programación,0,Prompt Engineering
eso permite usar estas herramientas de manera efectiva.,7,AI Ethics and Critical Thinking
dealing with ai slop bug reports,6,AI Oversight Skills
using mcp to integrate into existing systems,9,Domain Knowledge
discriminación de código,7,AI Ethics and Critical Thinking
ejecución de lógica,7,AI Ethics and Critical Thinking
entendimiento de la problemática,7,AI Ethics and Critical Thinking
análisis crítico.,7,AI Ethics and Critical Thinking
criticism,4,AI Literacy
tests,5,Testing Skills
the ability to not use them :),6,AI Oversight Skills
creativity,4,AI Literacy
accurate prompts,0,Prompt Engineering
code lesen und eigenständig bewerten - was sich leider durch massive nutzung von ki schwerer (weniger oft) lernen lässt.,0,Prompt Engineering
